skill,doc_frequency,doc_freq_pct
graphic,13,0.00535
benefit,13,0.00535
media blogging,13,0.00535
match,13,0.00535
management experience,13,0.00535
making,13,0.00535
developing,13,0.00535
required independently,13,0.00535
requirements physical,13,0.00535
messaging,13,0.00535
programming,13,0.00535
certified,13,0.00535
prolonged,13,0.00535
required interact,13,0.00535
citizenship,13,0.00535
employment opportunity,13,0.00535
engineering related,13,0.00535
equivalent combination,13,0.00535
warehouse,13,0.00535
savings,13,0.00535
achieve,13,0.00535
communicate peers,13,0.00535
section,13,0.00535
excellent interpersonal,13,0.00535
future physical,13,0.00535
stage,13,0.00535
carrying,13,0.00535
career life,13,0.00535
card,13,0.00535
section job,13,0.00535
characteristics,13,0.00535
interact computer,13,0.00535
characteristic protected,13,0.00535
machine,13,0.00535
priorities,13,0.00535
driving record,13,0.00535
development messaging,13,0.00535
concepts,13,0.00535
description representative,13,0.00535
dependent,13,0.00535
reasonable accommodation,13,0.00535
recognize,13,0.00535
efficient,13,0.00535
jira,13,0.00535
independently mobile,13,0.00535
physical mental,13,0.00535
program management,13,0.00535
pre,13,0.00535
currently,13,0.00535
peers workers,13,0.00535
able work,13,0.00535
personal,13,0.00535
desired,13,0.00535
sex sexual,13,0.00535
ability read,13,0.00535
youth,13,0.00535
understand work,13,0.00535
ability lift,13,0.00535
strong attention,13,0.00535
superior,13,0.00535
bonus,13,0.00535
blogging,13,0.00535
brand development,13,0.00535
vary,13,0.00535
youth services,13,0.00535
visa,13,0.00535
art/creative,0,0.0
advertising,0,0.0
product management,0,0.0
education,0,0.0
consulting,0,0.0
purchasing,0,0.0
supply chain,0,0.0
health care provider,0,0.0
general business,0,0.0
strategy/planning,0,0.0
other,0,0.0
quality assurance,0,0.0
information technology,0,0.0
writing/editing,0,0.0
accounting/auditing,0,0.0
